file,num_gt_boxes,num_matched_boxes,mean_iou,mean_iogt,mean_center_distance,mean_lev_sim,mean_cer_sim,mean_word_sim,mean_chrf,mean_end2end_lev,mean_end2end_chrf,recall_iou_03,recall_iou_05,weighted_lev_sim,weighted_chrf,weighted_end2end_lev,weighted_end2end_chrf,page_concat_lev_sim,page_concat_chrf,gt_json_path,pred_json_path
pg_22.json,6,6,0.253671072552826,0.5098186839556184,62.57448853157597,0.21429681429681433,0.21429681429681433,0.21429681429681433,0.1702319844474186,0.06474620471245182,0.05662577806577921,0.3333333333333333,0.16666666666666666,0.25179526355996945,0.2157140949062309,0.07595679259652244,0.07100346444693417,0.28755364806866957,0.2659338417963192,outputs\en\json\pg_22.json,outputs\jap\translation_best\pg_22.json
pg_23.json,12,12,0.17202376573205136,0.22626107285620514,123.0231321677174,0.22222391905837124,0.22222391905837124,0.22222391905837124,0.17231619247845278,0.041460597175274214,0.027541606674525734,0.25,0.0,0.2751040478795994,0.19393839102058347,0.05369325296086743,0.03342688942648185,0.2823275862068966,0.2975608677910206,outputs\en\json\pg_23.json,outputs\jap\translation_best\pg_23.json
pg_24.json,13,13,0.09220162256656729,0.14331484363652255,133.88334404814537,0.1542815692836531,0.1542815692836531,0.1542815692836531,0.0936148756821027,0.021773760758202334,0.01068805069829132,0.07692307692307693,0.0,0.22649039431026724,0.12985683255688762,0.03549178599869551,0.01747581852919481,0.25647668393782386,0.260026147317197,outputs\en\json\pg_24.json,outputs\jap\translation_best\pg_24.json
pg_25.json,5,5,0.20330645664977326,0.29906063899596425,119.76536348619341,0.21253968253968253,0.21253968253968253,0.21253968253968253,0.18787352726891732,0.03611203751566512,0.027979206982926042,0.4,0.0,0.28194971203820757,0.23193856494256718,0.04119690498224093,0.03179492222703493,0.3106796116504854,0.2736112793007676,outputs\en\json\pg_25.json,outputs\jap\translation_best\pg_25.json
pg_26.json,20,20,0.07696029630205409,0.1419918534856069,121.67332502862283,0.19276222600719506,0.19276222600719506,0.19276222600719506,0.15584190878457788,0.01845441898428843,0.015028699490234517,0.0,0.0,0.25254965248372957,0.19054600442128936,0.029219518396006214,0.02425584486580945,0.2540861812778603,0.24861332320104113,outputs\en\json\pg_26.json,outputs\jap\translation_best\pg_26.json
pg_27.json,18,18,0.0593732807265369,0.11329049748124422,127.04453754184927,0.20613147399898463,0.20613147399898463,0.20613147399898463,0.16088794569436932,0.014448389867943825,0.00792584439475321,0.05555555555555555,0.0,0.25010044829958333,0.17750235512350074,0.021767405273371385,0.012459651529779705,0.30477759472817134,0.30799660581562405,outputs\en\json\pg_27.json,outputs\jap\translation_best\pg_27.json
pg_28.json,11,11,0.11426544156114232,0.14150389222124785,130.6418225593706,0.16945245306715018,0.16945245306715018,0.16945245306715018,0.18432393229757987,0.030164584828257224,0.02904040880415475,0.09090909090909091,0.09090909090909091,0.2530033118301679,0.2501131398925,0.05781337272828918,0.05326114588380549,0.29400000000000004,0.30836748189156593,outputs\en\json\pg_28.json,outputs\jap\translation_best\pg_28.json
pg_29.json,8,8,0.16776225713717272,0.22328846451491594,90.24945019167497,0.20814627128013619,0.20814627128013619,0.20814627128013619,0.13379291344100386,0.034615240681157934,0.021831677360176507,0.125,0.0,0.323963107308457,0.20606171914164564,0.05873750116160394,0.03980530389218313,0.33333333333333337,0.3007367512432947,outputs\en\json\pg_29.json,outputs\jap\translation_best\pg_29.json
pg_3.json,13,13,0.1278244274268814,0.17029344801291343,138.4138774678158,0.133658217796306,0.133658217796306,0.133658217796306,0.09212105561894647,0.022687356028649693,0.014668132448471951,0.15384615384615385,0.07692307692307693,0.19301311481450625,0.12047245566905357,0.04029801278770398,0.02397782100580097,0.2540106951871658,0.2259020496484037,outputs\en\json\pg_3.json,outputs\jap\translation_best\pg_3.json
pg_30.json,9,9,0.17335533978765588,0.25408804488700637,80.79332404720002,0.19693288508442336,0.19693288508442336,0.19693288508442336,0.1355990272086457,0.05509888543566491,0.043134701410042775,0.2222222222222222,0.1111111111111111,0.27817318029754295,0.20700516524676507,0.10909449677046688,0.09717230524038242,0.31862745098039214,0.24822003076791183,outputs\en\json\pg_30.json,outputs\jap\translation_best\pg_30.json
